name,name_en,scientific_name,common_names,family,category,habitat_types,water_types,depth_range_min,depth_range_max,temperature_range_min,temperature_range_max,geographic_zones,countries,fao_zones,average_size_cm,max_size_cm,average_weight_kg,max_weight_kg,rarity,icon_url,photo_url,description,fishbase_id,gbif_id
Gobie léopard,Leopard-spotted Goby,Thorogobius ephippiatus,,Gobiidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,Le Gobie léopard (Thorogobius ephippiatus) est un poisson marin démersal de la famille des Gobiidés.,,2379214
Gobies nains,,Pomatoschistus sp.,,Gobiidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,,,2379265
Gobie à quatre taches,Four-spotted goby,Deltentosteus quadrimaculatus,,Gobiidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,Deltentosteus quadrimaculatus,,2376296
Gobie rayé,Striped goby,Gobius vittatus,,Gobiidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,,,2376545
Gobie nageur de Ferrer,Ferrer's goby,Pseudaphya ferreri,,Gobiidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,,,2376289
Gobie lote,Grass goby,Zosterisessor ophiocephalus,,Gobiidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,,,2375885
Crénilabre méditerranéen,Axillary wrasse,Symphodus mediterraneus,,Labridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Symphodus_mediterraneus.jpg/120px-Symphodus_mediterraneus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Symphodus_mediterraneus.jpg/120px-Symphodus_mediterraneus.jpg,Symphodus mediterraneus,,2384029
Crénilabre ocellé,Ocellated wrasse,Symphodus ocellatus,,Labridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,,,9740273
Crénilabre de doderlein,Doderlein’s wrasse,Symphodus doderleini,,Labridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Symphodus_doderleini_%28Stefano_Guerrieri%29.jpg/120px-Symphodus_doderleini_%28Stefano_Guerrieri%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Symphodus_doderleini_%28Stefano_Guerrieri%29.jpg/120px-Symphodus_doderleini_%28Stefano_Guerrieri%29.jpg,,,2383968
Sublet,Pointed-snout wrasse,Symphodus rostratus,,Labridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,Symphodus rostratus,,2383991
Crénilabre cendré,Grey wrasse,Symphodus cinereus,,Labridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Symphodus_cinereus.001_-_Aquarium_Finisterrae.jpg/120px-Symphodus_cinereus.001_-_Aquarium_Finisterrae.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Symphodus_cinereus.001_-_Aquarium_Finisterrae.jpg/120px-Symphodus_cinereus.001_-_Aquarium_Finisterrae.jpg,,,2384043
Crénilabre nettoyeur,blacktailed wrasse,Symphodus melanocercus,,Labridae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Symphodus_melanocercus.jpg/120px-Symphodus_melanocercus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Symphodus_melanocercus.jpg/120px-Symphodus_melanocercus.jpg,,,2383964
