name,name_en,scientific_name,common_names,family,category,habitat_types,water_types,depth_range_min,depth_range_max,temperature_range_min,temperature_range_max,geographic_zones,countries,fao_zones,average_size_cm,max_size_cm,average_weight_kg,max_weight_kg,rarity,icon_url,photo_url,description,fishbase_id,gbif_id
Flétan nain,Amer. Plaice(=long Rough Dab),Hippoglossoides platessoides,,Pleuronectidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Hippoglossoides_platessoides.jpg/120px-Hippoglossoides_platessoides.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Hippoglossoides_platessoides.jpg/120px-Hippoglossoides_platessoides.jpg,"La Plie canadienne, Hippoglossoides platessoides, ou Flétan nain est aussi appelée plie ou sole. En anglais, elle porte le nom d'American plaice, Canadian plaice, flounder, sand dab, plaice, dab ou blackback. En français acadien, on l'appelle plaise.",,2409104
Limande,Common dab,Limanda limanda,,Pleuronectidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Limanda_limanda.jpg/120px-Limanda_limanda.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Limanda_limanda.jpg/120px-Limanda_limanda.jpg,Limanda limanda,,5213960
Targeur,Bastard brill,Zeugopterus punctatus,,Scophthalmidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Zeugopterus_punctatus.JPG/120px-Zeugopterus_punctatus.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Zeugopterus_punctatus.JPG/120px-Zeugopterus_punctatus.JPG,"Zeugopterus punctatus, communément appelé Targeur, est une espèce de poissons plats marins appartenant à la famille des Scophthalmidae. C'est le seul poisson plat à pouvoir se coller sur une paroi verticale ou même un surplomb.",,2409410
Souris de mer,Armed bullhead,Agonus cataphractus,,Agonidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Agonus_cataphractus.jpg/120px-Agonus_cataphractus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Agonus_cataphractus.jpg/120px-Agonus_cataphractus.jpg,"Agonus cataphractus, la souris de mer ou aspidophore est une espèce de poissons marins appartenant à la famille des Agonidae. C'est la seule espèce du genre Agonus (monotypique).",,2337248
Chaboisseau à épines courtes,Arctic Sculpin,Myoxocephalus scorpius,,Cottidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Chaboisseau-idlm2006.jpg/120px-Chaboisseau-idlm2006.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Chaboisseau-idlm2006.jpg/120px-Chaboisseau-idlm2006.jpg,"Le chaboisseau à épines courtes, chaboisseau commun ou crapaud de mer à épines courtes (Myoxocephalus scorpius) est une espèce de poissons de la famille des Cottidae.",,2333785
Chabot de mer,Fatherlasher,Taurulus bubalis,,Cottidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Long_Spined_Scorpion_Fish.jpg/120px-Long_Spined_Scorpion_Fish.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Long_Spined_Scorpion_Fish.jpg/120px-Long_Spined_Scorpion_Fish.jpg,Taurulus bubalis,,2334227
Grondin strié,streaked gurnard,Trigloporus lastoviza,,Triglidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Chelidonichthys_lastoviza2.jpg/120px-Chelidonichthys_lastoviza2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Chelidonichthys_lastoviza2.jpg/120px-Chelidonichthys_lastoviza2.jpg,"Trigloporus lastoviza, communément appelé Grondin  strié ou Grondin camard, est une espèce de poissons marins de la famille des Triglidae. D'après d'anciennes classifications, c'était la seule espèce du genre Trigloporus (monotypique).",,2336529
Entélure,Snake Fish,Entelurus aequoreus,,Syngnathidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,Entelurus aequoreus,,2333112
Nérophis lombriciforme,Worm Pipefish,Nerophis lumbriciformis,,Syngnathidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"Nerophis lumbriciformis, communément appelé nérophis lombriciforme, est une espèce de poissons marins appartenant à la famille des Syngnathidae.",,2333323
Requin bleu,Blue Dog,Prionace glauca,,Carcharhinidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"Prionace glauca, Prionace · Peau bleue",,2417940
Requin griset,Atlantic mud shark,Hexanchus griseus,,Hexanchidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Hexanchus_griseus.jpg/120px-Hexanchus_griseus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Hexanchus_griseus.jpg/120px-Hexanchus_griseus.jpg,Hexanchus griseus,,2420569
Requin du Groenland,Greenland Shark,Somniosus microcephalus,,Dalatiidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Somniosus_microcephalus.jpg/120px-Somniosus_microcephalus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Somniosus_microcephalus.jpg/120px-Somniosus_microcephalus.jpg,Somniosus microcephalus,,2421162
Pocheteau noir,Long-nosed burton skate,Dipturus oxyrinchus,,Rajidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"Le pocheteau noir ou raie-capucin, Dipturus oxyrinchus, est une espèce de raies. Cette espèce peut peser 17 kg et mesurer 1,50 m de longueur.",,2420174
Raie blanche,Bordered skate,Rostroraja alba,,Rajidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"La Raie blanche bordée, Raie blanche à zone brune ou pocheteau (Rostroraja alba) est une espèce de raies. C'est la seule de son genre Rostroraja (monotypique).",,2420268
Raie brunette,,Raja undulata,,Rajidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Raja_undulata.jpg/120px-Raja_undulata.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Raja_undulata.jpg/120px-Raja_undulata.jpg,La raie brunette (Raja undulata) est une espèce de raies appartenant à la famille des Rajidae.,,5216046
Raie douce,Homelyn ray,Raja montagui,,Rajidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Raja_montagui_2.JPG/120px-Raja_montagui_2.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Raja_montagui_2.JPG/120px-Raja_montagui_2.JPG,La raie douce (Raja montagui) est une espèce de raies appartenant à la famille des Rajidae.,,5216014
Raie chardon,Dun cow,Leucoraja fullonica,,Rajidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Leucoraja_fullonica.jpg/120px-Leucoraja_fullonica.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Leucoraja_fullonica.jpg/120px-Leucoraja_fullonica.jpg,"La raie chardon, Leucoraja fullonica, est une espèce de raies.",,2419849
Raie fleurie,Butterfly skate,Leucoraja naevus,,Rajidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Leucoraja_naevus_from_Oceanic_Ichthyology_%281895%29.jpg/120px-Leucoraja_naevus_from_Oceanic_Ichthyology_%281895%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Leucoraja_naevus_from_Oceanic_Ichthyology_%281895%29.jpg/120px-Leucoraja_naevus_from_Oceanic_Ichthyology_%281895%29.jpg,"Leucoraja naevus, communément appelé Raie fleurie, Raie soleil, Raie coucou ou Raie pissouse, est une espèce de raies de la famille des Rajidae.",,2419875
Raie lisse,Blonde Skate,Raja brachyura,,Rajidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Raja_clavata_%28BPNS%29.jpg/120px-Raja_clavata_%28BPNS%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Raja_clavata_%28BPNS%29.jpg/120px-Raja_clavata_%28BPNS%29.jpg,"Raja brachyura est une espèce de raies. « Raie lisse » est couramment utilisé pour la désigner, mais est aussi employé pour Malacoraja senta (raie lissée).",,5216059
Raie mêlée,Owl ray,Raja microocellata,,Rajidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,La raie mêlée (Raja microocellata) est une espèce de raies. Elle se rencontre sur les fonds sableux des côtes de l'Atlantique nord-est.,,5216051
Raie ronde,,Leucoraja circularis,,Rajidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Defaut.svg/120px-Defaut.svg.png,"La raie circulaire, Leucoraja circularis, est une espèce de raies appartenant à la famille des Rajidae.",,2419863
Raie guitare,Giant guitarfish,Rhynchobatus djiddensis,,Rhinobatidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Rhynchobatus_djiddensis_durban.jpg/120px-Rhynchobatus_djiddensis_durban.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Rhynchobatus_djiddensis_durban.jpg/120px-Rhynchobatus_djiddensis_durban.jpg,Rhynchobatus djiddensis,,2418935
Ange de mer,Angel,Squatina squatina,,Squatinidae,,,"{""salt""}",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Squatina_angelus_-_Gervais.jpg/120px-Squatina_angelus_-_Gervais.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Squatina_angelus_-_Gervais.jpg/120px-Squatina_angelus_-_Gervais.jpg,"L’ange de mer commun, l’ange de mer, l’angel, l’antjou, le bourget, l’anelot, le martrame ou mordacle (Squatina squatina), est une espèce de poissons cartilagineux sélachimorphes. C’est une espèce en danger critique d’extinction (UICN) classée dans la liste des 100 espèces les plus menacées au monde. En France, à Nice, la baie des Anges lui doit son nom.",,2417781
